perturbation,n_valid,rank_correlation_mean,rank_correlation_std,topk_overlap_k3_mean,topk_overlap_k5_mean,topk_overlap_k10_mean,stability_score_mean,stability_score_std
gaussian_sigma_0.05,37,0.9692596944770859,0.05915538846389011,0.8783783783783784,0.8751608751608752,0.9195489195489196,0.9546539531867929,0.07025918384994564
gaussian_sigma_0.10,37,0.9429142185663923,0.07887219550951745,0.8486486486486486,0.8278635778635779,0.8689598689598689,0.9337977929855991,0.0818133029574919
gaussian_sigma_0.20,37,0.901903642773208,0.11248108097084145,0.7405405405405405,0.7725225225225225,0.8236538236538236,0.9068585848536104,0.09367559536562658
time_warp_factor_0.05,34,0.9127109974424551,0.05933094284304631,0.7088235294117647,0.7156862745098039,0.7803373097490746,0.8924579928245086,0.07042405986181717
time_warp_factor_0.10,34,0.9009462915601023,0.06398750560759733,0.6705882352941177,0.6708683473389354,0.7834910187851364,0.8759494687011253,0.07876199490321034
time_warp_factor_0.20,34,0.8636317135549871,0.09917764178354263,0.5882352941176471,0.6638655462184875,0.7408375937787701,0.8642088396738008,0.09180483966329302
phase_shift_max_1,37,0.86406580493537,0.08639112404619657,0.6108108108108108,0.6444658944658944,0.7496377496377495,0.8583987041007258,0.07910610115547499
phase_shift_max_2,34,0.8649104859335038,0.10129724185102354,0.6411764705882353,0.6449579831932771,0.758535582064994,0.8590298657429954,0.07960297164515884
phase_shift_max_3,37,0.8214806110458283,0.1335780853428627,0.5054054054054054,0.5750750750750749,0.7088677088677089,0.8271103051291476,0.09305457691449517
