dataset,perturbation,strength,rank_corr,top5,stability
JapaneseVowels,gaussian,0.05,0.953,0.867,0.948
JapaneseVowels,gaussian,0.1,0.906,0.833,0.926
JapaneseVowels,gaussian,0.2,0.781,0.662,0.843
JapaneseVowels,time_warp,0.05,0.885,0.743,0.894
JapaneseVowels,time_warp,0.1,0.891,0.767,0.903
JapaneseVowels,time_warp,0.2,0.887,0.686,0.877
PenDigits,gaussian,0.05,0.948,0.752,0.912
PenDigits,gaussian,0.1,0.856,0.63,0.852
PenDigits,gaussian,0.2,0.693,0.442,0.754
PenDigits,time_warp,0.05,0.989,0.933,0.977
PenDigits,time_warp,0.1,0.969,0.867,0.952
PenDigits,time_warp,0.2,0.91,0.776,0.91
LSST,time_warp,0.05,0.53,0.437,0.706
LSST,time_warp,0.1,0.491,0.429,0.693
LSST,time_warp,0.2,0.466,0.429,0.687
LSST,phase_shift,1.0,0.421,0.417,0.668
LSST,phase_shift,2.0,0.48,0.38,0.673
LSST,phase_shift,3.0,0.517,0.39,0.687
