dataset,method,n,mean_rho,ci_lower,ci_upper
JapaneseVowels,integrated_gradients,9,0.5748792270531401,0.46068572210724484,0.6759469269492986
PenDigits,integrated_gradients,20,0.37152173913043474,0.2991739130434782,0.45088227568864064
LSST,integrated_gradients,20,-0.12217391304347827,-0.2371304347826087,0.011367632716663049
JapaneseVowels,attention_entropy,9,0.20657004830917872,0.09913043478260869,0.2826086956521739
JapaneseVowels,attention_max,9,0.4832255476908716,0.38775207007876883,0.5738042431323647
JapaneseVowels,attention_variance,9,0.21681159420289853,0.11119302987550338,0.2996259381550156
PenDigits,attention_entropy,20,0.26865217391304347,0.14899999999999997,0.35965217391304344
PenDigits,attention_max,20,0.281947475089536,0.1777928806098729,0.36889496403405886
PenDigits,attention_variance,20,0.2724782608695652,0.1598942204267682,0.3570063487558251
LSST,attention_entropy,20,0.1844528622365998,0.056954422152257614,0.30967073596753586
LSST,attention_max,20,0.16971492394965867,0.043495822347918794,0.2902830999303542
LSST,attention_variance,20,0.18149624218793936,0.04919982609403407,0.30300897876294136
