dataset,comparison,layer,head,cohens_d,cohens_d_ci_lower,cohens_d_ci_upper,cliffs_delta,interpretation
JapaneseVowels,denoise_vs_noise,-1,-1,3.3470020948502732,2.0393225934535133,8.831984484592844,1.0,large
JapaneseVowels,vs_zero,0,0,0.6945092460752972,0.4387903992939077,1.0619214635625505,0.4444444444444444,medium
JapaneseVowels,vs_zero,0,1,0.7637220386847999,0.4820089031371986,1.1870518121407565,0.1111111111111111,medium
JapaneseVowels,vs_zero,0,2,0.7603906645959564,0.47838137397683095,1.117157716460383,0.3333333333333333,medium
JapaneseVowels,vs_zero,0,3,0.6667247071862101,0.4556371931222996,1.034989461994919,0.1111111111111111,medium
JapaneseVowels,vs_zero,0,4,0.7898648346812959,0.5153406758669319,1.2075827345811563,0.3333333333333333,medium
JapaneseVowels,vs_zero,0,5,0.812488491208695,0.5020268788885092,1.2456005530072112,0.5555555555555556,large
JapaneseVowels,vs_zero,0,6,0.7353122975340186,0.4541044582444988,1.1206167132527491,0.5555555555555556,medium
JapaneseVowels,vs_zero,0,7,0.7466896399045551,0.4542126619795007,1.1408249661487646,0.2222222222222222,medium
JapaneseVowels,vs_zero,1,0,0.8038409753327189,0.5064818090963389,1.2543411960174742,0.5555555555555556,large
JapaneseVowels,vs_zero,1,1,0.6607454388292633,0.4125922084542684,1.0137488237834908,-0.1111111111111111,medium
JapaneseVowels,vs_zero,1,2,0.7238427907446013,0.4602604418235281,1.0888816412173405,0.4444444444444444,medium
JapaneseVowels,vs_zero,1,3,0.6335656557017667,0.3802212132007358,0.949058890387572,0.2777777777777778,medium
JapaneseVowels,vs_zero,1,4,0.6204554964952947,0.41420797068624937,0.9433886677011479,0.2222222222222222,medium
JapaneseVowels,vs_zero,1,5,0.5090393824836248,0.2300549448845029,0.873096464813537,0.0,medium
JapaneseVowels,vs_zero,1,6,0.8551313808088514,0.519332354030205,1.3405888530601962,0.1111111111111111,large
JapaneseVowels,vs_zero,1,7,0.5471170298038976,0.33259046366133793,0.8275612859292784,-0.1111111111111111,medium
JapaneseVowels,vs_zero,2,0,0.7509555562924429,0.4778776376761084,1.1368818358521011,0.0,medium
JapaneseVowels,vs_zero,2,1,0.6558254461313606,0.4427934039264982,0.9944905803558064,0.1111111111111111,medium
JapaneseVowels,vs_zero,2,2,0.6150685860179981,0.29434451990534033,0.954093255806569,-0.2222222222222222,medium
JapaneseVowels,vs_zero,2,3,0.5296105856759693,0.3773397401550292,0.8081975472730984,0.0,medium
JapaneseVowels,vs_zero,2,4,0.6331617293128398,0.4086119917959505,0.9564948975907006,0.1111111111111111,medium
JapaneseVowels,vs_zero,2,5,0.6134722068821397,0.40880359653117315,0.9717014223373169,0.2222222222222222,medium
JapaneseVowels,vs_zero,2,6,0.662249007865849,0.42559953853194843,1.0845768365983295,0.0,medium
JapaneseVowels,vs_zero,2,7,0.594521564329804,0.3654829047483036,0.9321504933051324,-0.1111111111111111,medium
PenDigits,denoise_vs_noise,-1,-1,1.2150892895509215,0.9488588914365924,1.5785009177153075,1.0,large
PenDigits,vs_zero,0,0,0.508023435823846,0.40061316193493124,0.6374517154202948,0.21428571428571427,medium
PenDigits,vs_zero,0,1,0.4100102436807057,0.3180741005068139,0.5233466780777918,0.14285714285714285,small
PenDigits,vs_zero,0,2,0.5677276296173487,0.4437861408967956,0.701805933498954,0.17142857142857143,medium
PenDigits,vs_zero,0,3,0.34087427332011483,0.24638612114912561,0.47778011345075244,-0.08571428571428572,small
PenDigits,vs_zero,0,4,0.4359764906266991,0.33377378314712886,0.5755176149351294,0.0,small
PenDigits,vs_zero,0,5,0.48010851067501337,0.3718478242097456,0.6068996705682088,0.02857142857142857,small
PenDigits,vs_zero,0,6,0.5067470595825214,0.3834328782924658,0.6494939256619122,0.07142857142857142,medium
PenDigits,vs_zero,0,7,0.48866158285981764,0.36755463163918506,0.6174981975758346,0.24285714285714285,small
PenDigits,vs_zero,1,0,0.45642784828240146,0.34989060724525806,0.5782081367651358,0.14285714285714285,small
PenDigits,vs_zero,1,1,0.4643223533361713,0.35404262351982296,0.5766488745063033,0.05714285714285714,small
PenDigits,vs_zero,1,2,0.47439315555668804,0.38029583638660075,0.6322590284688231,0.05714285714285714,small
PenDigits,vs_zero,1,3,0.41076735462384767,0.3247382333205124,0.5948193968359389,0.04285714285714286,small
PenDigits,vs_zero,1,4,0.35305119318669953,0.28866946155471757,0.5909292217396558,0.02857142857142857,small
PenDigits,vs_zero,1,5,0.4238645140037967,0.3355648825528335,0.5458685391125359,0.14285714285714285,small
PenDigits,vs_zero,1,6,0.4991808320715419,0.3845622547665002,0.6285764672429764,0.11428571428571428,small
PenDigits,vs_zero,1,7,0.45178759324351764,0.33737648054554875,0.5689754686820389,0.02857142857142857,small
PenDigits,vs_zero,2,0,0.40951911591853263,0.3144103237116624,0.5267582942296192,0.07142857142857142,small
PenDigits,vs_zero,2,1,0.4616766685936747,0.3559337055021678,0.5886002590935986,0.05714285714285714,small
PenDigits,vs_zero,2,2,0.49362572876080235,0.37773998292382543,0.6152413054462983,0.02857142857142857,small
PenDigits,vs_zero,2,3,0.4775538726285402,0.3722635370896463,0.6557420486686993,0.05714285714285714,small
PenDigits,vs_zero,2,4,0.4087359751206419,0.3243058745419072,0.5937765644858064,0.07142857142857142,small
PenDigits,vs_zero,2,5,0.4482244736967303,0.3566589830248709,0.5600509200023174,0.12857142857142856,small
PenDigits,vs_zero,2,6,0.4659705156054595,0.3464966834690077,0.6052719334434925,0.07142857142857142,small
PenDigits,vs_zero,2,7,0.4764626494262125,0.3685667020361196,0.6099146785538514,0.0,small
LSST,denoise_vs_noise,-1,-1,0.49628900361351763,0.39809802141386064,1.0135170298003056,1.0,small
LSST,vs_zero,0,0,-0.10679001400424587,-0.23054270816889905,0.18581539603507904,0.06756756756756757,negligible
LSST,vs_zero,0,1,-0.16256144295380762,-0.2875225183381402,0.0770612188375171,0.08108108108108109,negligible
LSST,vs_zero,0,2,-0.09004926090523088,-0.20278662547790932,0.2581072876557957,0.24324324324324326,negligible
LSST,vs_zero,0,3,0.12519811639233977,-0.11001040897026601,0.332643155246125,0.08108108108108109,negligible
LSST,vs_zero,0,4,0.22307062833949062,0.007615192842252362,0.41283107685399784,0.16216216216216217,small
LSST,vs_zero,0,5,-0.10302011501306654,-0.20463223203693504,0.26659043844023744,0.12162162162162163,negligible
LSST,vs_zero,0,6,-0.07575801316505627,-0.20317091440846002,0.24031574563850605,0.21621621621621623,negligible
LSST,vs_zero,0,7,-0.12227709835127977,-0.24551812182126542,0.12180237947306546,0.1891891891891892,negligible
LSST,vs_zero,1,0,0.05008465853430659,-0.2578097203137507,0.20210104945701174,0.14864864864864866,negligible
LSST,vs_zero,1,1,-0.026609313232672484,-0.29006346724381227,0.17680328137190626,0.13513513513513514,negligible
LSST,vs_zero,1,2,0.24450601841496009,0.14050512288889294,0.37243091903528314,0.13513513513513514,small
LSST,vs_zero,1,3,-0.012071222673878399,-0.2645756185213059,0.17963404035552633,0.08108108108108109,negligible
LSST,vs_zero,1,4,-0.03454279189289063,-0.26445366061573955,0.1916730530034448,0.02702702702702703,negligible
LSST,vs_zero,1,5,-0.219256409926185,-0.3439834995121274,-0.06298166756075663,0.08108108108108109,small
LSST,vs_zero,1,6,0.13278974287932307,-0.20352087070992347,0.251543500850611,0.16216216216216217,negligible
LSST,vs_zero,1,7,-0.1533718423949008,-0.2719160839948189,0.23168593415321062,0.21621621621621623,negligible
LSST,vs_zero,2,0,-0.16807724892389123,-0.2921541863336815,0.054465055797796404,0.10810810810810811,negligible
LSST,vs_zero,2,1,-0.22665232827787718,-0.32742347806702776,-0.10473466654411888,0.05405405405405406,small
LSST,vs_zero,2,2,0.025135980884579297,-0.31455816637299155,0.1789366749446835,0.05405405405405406,negligible
LSST,vs_zero,2,3,-0.10380011078263654,-0.32543372299103956,0.12486703649685131,0.05405405405405406,negligible
LSST,vs_zero,2,4,-0.07459109161397677,-0.3068366292055525,0.14646491459098362,0.13513513513513514,negligible
LSST,vs_zero,2,5,-0.17060711241752197,-0.28327514930413467,0.07298559196121195,0.05405405405405406,negligible
LSST,vs_zero,2,6,-0.04534221530881477,-0.25469060882352074,0.1723307794686491,0.12162162162162163,negligible
LSST,vs_zero,2,7,-0.08191800387517546,-0.2859389132627879,0.14976215717276256,0.1891891891891892,negligible
